OBJECTNUMMER;Gebied;Jaar;Waargenomen_bijen;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
71;"President Kennedylaan";1998;"Gewone franjegroefbij";"POINT(4.8998001,52.3404051)";"POINT(52.3404051,4.8998001)";4.8998001;52.3404051;
72;"Bilderdijkkade";1998;"Gewone maskerbij";"POINT(4.8702309,52.3681838)";"POINT(52.3681838,4.8702309)";4.8702309;52.3681838;
73;"Burg Venig Meineszlaan";1998;"Grote bladsnijder - Tweekleurige zandbij";"POINT(4.8308141,52.3829543)";"POINT(52.3829543,4.8308141)";4.8308141;52.3829543;
74;"Johan Huizingallaan";1998;"Gewone franjegroefbij - Gewone geurgroefbij - Tweekleurige zandbij";"POINT(4.8280671,52.3451659)";"POINT(52.3451659,4.8280671)";4.8280671;52.3451659;
75;"Kortrijk";1998;"Gewone geurgroefbij - Gewone maskerbij - Grasbij - Matte bandgroefbij - Tweekleurige zandbij";"POINT(4.8016102,52.3439147)";"POINT(52.3439147,4.8016102)";4.8016102;52.3439147;
76;"Lanakenstraat";1998;"Gewone geurgroefbij - Grasbij";"POINT(4.8068449,52.3467223)";"POINT(52.3467223,4.8068449)";4.8068449;52.3467223;
77;"Mechelensingel";1998;"Gewone geurgroefbij";"POINT(4.80779,52.3471648)";"POINT(52.3471648,4.80779)";4.80779;52.3471648;
78;"Oudenaardeplantsoen";1998;"Gewone geurgroefbij - Gewone maskerbij - Grasbij - Matte bandgroefbij";"POINT(4.8025429,52.3467719)";"POINT(52.3467719,4.8025429)";4.8025429;52.3467719;
79;"Slotermeerlaan";1998;"Gewone franjegroefbij - Gewone geurgroefbij - Parkbronsgroefbij - Tweekleurige zandbij";"POINT(4.819741,52.3774764)";"POINT(52.3774764,4.819741)";4.819741;52.3774764;
80;"Vrije Geer";1998;"Dikkopbloedbij - Gewone geurgroefbij - Grasbij - Schoffelbloedbij - Tweekleurige zandbij";"POINT(4.7982409,52.3454787)";"POINT(52.3454787,4.7982409)";4.7982409;52.3454787;
81;"Spaarndammerdijk";1998;"Gewone geurgroefbij - Tweekleurige zandbij";"POINT(4.861841,52.3916365)";"POINT(52.3916365,4.861841)";4.861841;52.3916365;
82;"Brinkstraat";1998;"Grote bladsnijder - Tweekleurige zandbij";"POINT(4.9453981,52.3417822)";"POINT(52.3417822,4.9453981)";4.9453981;52.3417822;
83;"Willem Dreeshuis";1998;"Grote bladsnijder - Grote wolbij";"POINT(4.9328878,52.3489882)";"POINT(52.3489882,4.9328878)";4.9328878;52.3489882;
84;"Nieuwe Oosterbegraafplaats";1998;"Geeltipje - Gewone geurgroefbij - Langkopsmaragdgroefbij - Tweekleurige zandbij";"POINT(4.9383809,52.3448111)";"POINT(52.3448111,4.9383809)";4.9383809;52.3448111;
85;"Nobelweg";1998;"Tuinbladsnijder";"POINT(4.9252489,52.3498313)";"POINT(52.3498313,4.9252489)";4.9252489;52.3498313;
86;"Omgeving Willem Dreeshuis";1998;"Gewone maskerbij - Grote bladsnijder - Tuinmaskerbij";"POINT(4.9322331,52.3488394)";"POINT(52.3488394,4.9322331)";4.9322331;52.3488394;
87;"Ooster Ringdijk";1998;"Gewone geurgroefbij - Gewone maskerbij - Roodpotige groefbij - Witkopdwergzandbij";"POINT(4.9486592,52.3578002)";"POINT(52.3578002,4.9486592)";4.9486592;52.3578002;
88;"Rozenburglaan";1998;"Gewone geurgroefbij - Grote bladsnijder - Parkbronsgroefbij - Tweekleurige zandbij - Vosje - Witkopdwergzandbij";"POINT(4.9376728,52.3400008)";"POINT(52.3400008,4.9376728)";4.9376728;52.3400008;
89;"Veeteeltstraat";1998;"Gewone maskerbij - Grote bladsnijder - Tuinmaskerbij";"POINT(4.9475758,52.3413169)";"POINT(52.3413169,4.9475758)";4.9475758;52.3413169;
90;"Eerste Hugo de Grootstraat";1998;"Grijze rimpelrug - Rosse metselbij";"POINT(4.8743508,52.3761031)";"POINT(52.3761031,4.8743508)";4.8743508;52.3761031;
91;"Tweede Hugo de Grootstraat";1998;"Gewone geurgroefbij";"POINT(4.8733962,52.3745238)";"POINT(52.3745238,4.8733962)";4.8733962;52.3745238;
92;"Derde Hugo de Grootstraat";1998;"Grijze rimpelrug";"POINT(4.871712,52.3738562)";"POINT(52.3738562,4.871712)";4.871712;52.3738562;
93;"Van Boetzelaerstraat";1998;"Gewone maskerbij";"POINT(4.8723881,52.3823897)";"POINT(52.3823897,4.8723881)";4.8723881;52.3823897;
94;"De Wittenkade";1998;"Bloedbij spec. - Tweekleurige zandbij";"POINT(4.8763039,52.3829543)";"POINT(52.3829543,4.8763039)";4.8763039;52.3829543;
95;"Waterloop";1998;"Dikkopbloedbij - Gewone maskerbij - Gewone sachembij - Grote bladsnijder - Grote wolbij - Matte bandgroefbij - Roodsprietwespbij - Rosse metselbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Witbaardzandbij - Witkopdwergzandbij - Wormkruidbij";"POINT(4.8689549,52.3831412)";"POINT(52.3831412,4.8689549)";4.8689549;52.3831412;
96;"Westerpark";1998;"Gewone geurgroefbij - Gewone sachembij - Gewone wespbij - Grasbij - Grijze rimpelrug - Meidoornzandbij - Parkbronsgroefbij - Resedamaskerbij - Roodgatje - Roodpotige groefbij - Rosse metselbij - Sierlijke wespbij - Tweekleurige zandbij - Vosje - Witbaardzandbij - Witkopdwergzandbij";"POINT(4.8769052,52.3864638)";"POINT(52.3864638,4.8769052)";4.8769052;52.3864638;
97;"Westerpark nieuw gedeelte";1998;"Dikkopbloedbij - Donkere wespbij - Gewone wespbij - Grote bladsnijder - Pluimvoetbij - Roodpotige groefbij - Schoffelbloedbij - Sierlijke wespbij";"POINT(4.8716471,52.386975)";"POINT(52.386975,4.8716471)";4.8716471;52.386975;
98;"Flevopark";1998;"Gewone geurgroefbij - Gewone maskerbij - Gewone wespbij - Grijze rimpelrug - Meidoornzandbij - Roodgatje - Viltvlekzandbij - Vosje - Witkopdwergzandbij";"POINT(4.9500959,52.3632132)";"POINT(52.3632132,4.9500959)";4.9500959;52.3632132;
99;"Kramatweg";1998;"Rosse metselbij - Sierlijke wespbij - Vosje";"POINT(4.94647,52.3651778)";"POINT(52.3651778,4.94647)";4.94647;52.3651778;
100;"Sumatraplantsoen";1998;"Bruine rouwbij - Gewone geurgroefbij - Gewone sachembij - Grijze rimpelrug - Rosse metselbij - Sierlijke wespbij - Vosje - Witbaardzandbij";"POINT(4.9430692,52.3599097)";"POINT(52.3599097,4.9430692)";4.9430692;52.3599097;
101;"Oude Bijlmerflats";1998;"Gewone dwergzandbij - Gewone geurgroefbij - Langkopsmaragdgroefbij - Parkbronsgroefbij - Roodpotige groefbij - Rosse metselbij - Witkopdwergzandbij";"POINT(4.969816,52.3234259)";"POINT(52.3234259,4.969816)";4.969816;52.3234259;
103;"Abcouderpad";2014;"Gedoornde slakkenhuisbij - Gewone geurgroefbij - Grasbij - Matte bandgroefbij - Roodpotige groefbij - Tuinbladsnijder - Wormkruidbij";"POINT(4.9573171,52.3068701)";"POINT(52.3068701,4.9573171)";4.9573171;52.3068701;
104;"Adelaarsweg";2014;"Gewone kleine wespbij - Grasbij - Tuinmaskerbij - Wormkruidbij";"POINT(4.9176099,52.387879)";"POINT(52.387879,4.9176099)";4.9176099;52.387879;
105;"Amsteldijk";2014;"Ereprijszandbij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Gewone slobkousbij - Gewone smaragdgroefbij - Grasbij - Grote bladsnijder - Grote wolbij - Parkbronsgroefbij - Rosse metselbij - Tronkenbij - Tuinbladsnijder - Witbaardzandbij - Wormkruidbij";"POINT(4.8943288,52.3242118)";"POINT(52.3242118,4.8943288)";4.8943288;52.3242118;
106;"Amstelpark";2014;"Bleekvlekwespbij - Gewone dwergbloedbij - Gewone sachembij - Gewone slobkousbij - Gewone smaragdgroefbij - Grasbij - Grote bladsnijder - Grote klokjesbij - Pantserbloedbij - Roodbuikje - Rosse metselbij - Tronkenbij - Tuinbladsnijder - Vosje - Witbaardzandbij";"POINT(4.894243,52.3295638)";"POINT(52.3295638,4.894243)";4.894243;52.3295638;
107;"Baanakkerspark";2014;"Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone sachembij - Grasbij - Rood-Zwarte dubbeltand - Roodgatje - Smalbandwespbij - Tweekleurige zandbij - Viltvlekzandbij - Vroege zandbij";"POINT(4.9455531,52.3977019)";"POINT(52.3977019,4.9455531)";4.9455531;52.3977019;
108;"Beatrixpark";2014;"Donkere wespbij - Ereprijszandbij - Geeltipje - Gewone franjegroefbij - Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Gewone slobkousbij - Grijze rimpelrug - Grote bladsnijder - Grote klokjesbij - Grote wolbij - Roodbuikje - Roodgatje - Rosse metselbij - Tronkenbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Vosje - Witbaardzandbij - Wormkruidbij";"POINT(4.8791802,52.3429572)";"POINT(52.3429572,4.8791802)";4.8791802;52.3429572;
109;"Beemsterstraat";2014;"Gewone geurgroefbij - Gewone maskerbij - Grasbij - Tuinbladsnijder - Tuinmaskerbij - Wormkruidbij";"POINT(4.9506118,52.396443)";"POINT(52.396443,4.9506118)";4.9506118;52.396443;
110;"Bijlmerweide";2014;"Gewone dwergzandbij - Gewone geurgroefbij - Gewone sachembij - Grijze zandbij - Grote zijdebij - Roodpotige groefbij - Tronkenbij - Tuinbladsnijder - Tuinmaskerbij - Vosje - Wormkruidbij";"POINT(4.9878409,52.3264662)";"POINT(52.3264662,4.9878409)";4.9878409;52.3264662;
111;"Boris Pasternakstraat";2014;"Gewone dwergzandbij - Gewone geurgroefbij - Gewone maskerbij - Ingesnoerde groefbij - Tweekleurige zandbij - Wormkruidbij";"POINT(4.9427478,52.3183028)";"POINT(52.3183028,4.9427478)";4.9427478;52.3183028;
112;"Brinkstraat";2014;"Roodpotige groefbij";"POINT(4.9455101,52.34187)";"POINT(52.34187,4.9455101)";4.9455101;52.34187;
114;"Fietspad Abcoude";1998;"Ereprijszandbij - Gewone geurgroefbij - Rosse metselbij";"POINT(4.9595601,52.3049704)";"POINT(52.3049704,4.9595601)";4.9595601;52.3049704;
115;"Bijlmer laagbouw";1998;"Ereprijszandbij";"POINT(4.982691,52.3256308)";"POINT(52.3256308,4.982691)";4.982691;52.3256308;
116;"Ringvaartdijk T106";1998;"Grasbij - Kortsprietwespbij";"POINT(4.8051498,52.3325125)";"POINT(52.3325125,4.8051498)";4.8051498;52.3325125;
117;"Ringvaartdijk";1998;"Grasbij - Kortsprietwespbij - Matte bandgroefbij - Parkbronsgroefbij - Roodpotige groefbij - Tuinbladsnijder - Tweekleurige zandbij";"POINT(4.7559259,52.3570372)";"POINT(52.3570372,4.7559259)";4.7559259;52.3570372;
118;"Flierbosdreef";1998;"Ereprijszandbij";"POINT(4.959667,52.3108985)";"POINT(52.3108985,4.959667)";4.959667;52.3108985;
119;"Het Hoogt";1998;"Grote wolbij";"POINT(4.938338,52.3968474)";"POINT(52.3968474,4.938338)";4.938338;52.3968474;
120;"Buikslotermeerdijk";2014;"Gewone geurgroefbij - Grasbij - Roodgatje - Vosje";"POINT(4.9288752,52.4095313)";"POINT(52.4095313,4.9288752)";4.9288752;52.4095313;
121;"Darwinplantsoen";2014;"Gewone franjegroefbij - Gewone geurgroefbij - Gewone maskerbij - Grote bladsnijder - Grote wolbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Wormkruidbij";"POINT(4.9310639,52.3447577)";"POINT(52.3447577,4.9310639)";4.9310639;52.3447577;
122;"Diemerpark";2014;"Donkere wespbij - Duinzijdebij - Gewone dwergbloedbij - Gewone geurgroefbij - Gewone kleine wespbij - Goudpootzandbij - Grasbij - Grote bladsnijder - Grote wolbij - Grote zijdebij - Matte bandgroefbij - Parkbronsgroefbij - Pluimvoetbij - Rood-Zwarte dubbeltand - Roodgatje - Smalbandwespbij - Tweekleurige zandbij - Wimperflankzandbij - Wormkruidbij";"POINT(4.984751,52.353028)";"POINT(52.353028,4.984751)";4.984751;52.353028;
123;"Flevopark";2014;"Blauwe metselbij - Bruinsprietwespbij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Grasbij - Roodgatje - Rosse metselbij - Smalbandwespbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Witbaardzandbij";"POINT(4.950505,52.3630416)";"POINT(52.3630416,4.950505)";4.950505;52.3630416;
124;"Gijsbrecht van Aemstelpark";2014;"Ereprijszandbij - Fluitenkruidbij - Gewone dwergbloedbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone sachembij - Goudpootzandbij - Grasbij - Grote bladsnijder - Resedamaskerbij - Roodgatje - Roodpotige groefbij - Rosse metselbij - Schoffelbloedbij - Tuinbladsnijder - Viltvlekzandbij - Witbaardzandbij - Wormkruidbij";"POINT(4.8758752,52.3285643)";"POINT(52.3285643,4.8758752)";4.8758752;52.3285643;
125;"Van der Boechorststraat";2014;"Gewone dwergzandbij - Gewone sachembij - Goudpootzandbij - Roodgatje - Rosse metselbij - Smalbandwespbij - Viltvlekzandbij - Vosje - Witbaardzandbij";"POINT(4.8620989,52.3307044)";"POINT(52.3307044,4.8620989)";4.8620989;52.3307044;
126;"Heemtuin Berend Seinen";2014;"Blauwe metselbij - Duinzijdebij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Grasbij - Grote bladsnijder - Grote wolbij - Langkopsmaragdgroefbij - Matte bandgroefbij - Rosse metselbij - Tuinbladsnijder - Vosje - Weidemaskerbij";"POINT(4.942817,52.3985297)";"POINT(52.3985297,4.942817)";4.942817;52.3985297;
127;"Havengebied";2014;"Gewone geurgroefbij - Grasbij - Grote bloedbij - Matte bandgroefbij - Pantserbloedbij - Roodgatje - Witbaardzandbij - Wormkruidbij";"POINT(4.7946789,52.4142462)";"POINT(52.4142462,4.7946789)";4.7946789;52.4142462;
128;"Heggenrankweg 87: N.J.Schaaptuin";2014;"Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Goudpootzandbij - Grasbij - Grote bladsnijder - Grote wolbij - Tuinbladsnijder - Tweekleurige zandbij";"POINT(4.9118812,52.3965804)";"POINT(52.3965804,4.9118812)";4.9118812;52.3965804;
129;"Hermitage";2014;"Grote bladsnijder";"POINT(4.9022682,52.3651091)";"POINT(52.3651091,4.9022682)";4.9022682;52.3651091;
130;"Hortus botanicus";2014;"Geelgerande tubebij - Gewone dwergzandbij - Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Gewone slobkousbij - Grote bladsnijder - Grote klokjesbij - Grote wolbij - Matte bandgroefbij - Resedamaskerbij - Rosse metselbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Vosje - Witbaardzandbij - Wormkruidbij";"POINT(4.9081361,52.3667761)";"POINT(52.3667761,4.9081361)";4.9081361;52.3667761;
131;"Kalfjeslaan";2014;"Bleekvlekwespbij - Gewone dubbeltand - Gewone dwergbloedbij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone kleine wespbij - Gewone sachembij - Gewone slobkousbij - Grasbij - Grijze rimpelrug - Grijze zandbij - Grote bladsnijder - Grote klokjesbij - Grote wolbij - Matte bandgroefbij - Rood-Zwarte dubbeltand - Roodbuikje - Roodgatje - Rosse metselbij - Tronkenbij - Tuinbladsnijder - Tweekleurige zandbij - Vosje - Witbaardzandbij - Wormkruidbij";"POINT(4.8770769,52.3219573)";"POINT(52.3219573,4.8770769)";4.8770769;52.3219573;
