Gebied,Jaar,Waargenomen_bijen,LNG,LAT
Willem Dreeshuis,1998,Grote bladsnijder - Grote wolbij,4.9328878,52.3489882
Nieuwe Oosterbegraafplaats,1998,Geeltipje - Gewone geurgroefbij - Langkopsmaragdgroefbij - Tweekleurige zandbij,4.9383809,52.3448111
Nobelweg,1998,Tuinbladsnijder,4.9252489,52.3498313
Omgeving Willem Dreeshuis,1998,Gewone maskerbij - Grote bladsnijder - Tuinmaskerbij,4.9322330999999995,52.348839399999996
Ooster Ringdijk,1998,Gewone geurgroefbij - Gewone maskerbij - Roodpotige groefbij - Witkopdwergzandbij,4.948659200000001,52.35780020000001
Rozenburglaan,1998,Gewone geurgroefbij - Grote bladsnijder - Parkbronsgroefbij - Tweekleurige zandbij - Vosje - Witkopdwergzandbij,4.9376728,52.3400008
Veeteeltstraat,1998,Gewone maskerbij - Grote bladsnijder - Tuinmaskerbij,4.9475758,52.3413169
Eerste Hugo de Grootstraat,1998,Grijze rimpelrug - Rosse metselbij,4.8743508,52.3761031
Tweede Hugo de Grootstraat,1998,Gewone geurgroefbij,4.8733962,52.3745238
Derde Hugo de Grootstraat,1998,Grijze rimpelrug,4.8717120000000005,52.373856200000006
Van Boetzelaerstraat,1998,Gewone maskerbij,4.872388099999999,52.382389700000004
De Wittenkade,1998,Bloedbij spec. - Tweekleurige zandbij,4.876303900000001,52.382954299999994
Waterloop,1998,Dikkopbloedbij - Gewone maskerbij - Gewone sachembij - Grote bladsnijder - Grote wolbij - Matte bandgroefbij - Roodsprietwespbij - Rosse metselbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Witbaardzandbij - Witkopdwergzandbij - Wormkruidbij,4.8689549,52.383141200000004
Westerpark,1998,Gewone geurgroefbij - Gewone sachembij - Gewone wespbij - Grasbij - Grijze rimpelrug - Meidoornzandbij - Parkbronsgroefbij - Resedamaskerbij - Roodgatje - Roodpotige groefbij - Rosse metselbij - Sierlijke wespbij - Tweekleurige zandbij - Vosje - Witbaardzandbij - Witkopdwergzandbij,4.8769052,52.386463799999994
Westerpark nieuw gedeelte,1998,Dikkopbloedbij - Donkere wespbij - Gewone wespbij - Grote bladsnijder - Pluimvoetbij - Roodpotige groefbij - Schoffelbloedbij - Sierlijke wespbij,4.8716471,52.386975
Flevopark,1998,Gewone geurgroefbij - Gewone maskerbij - Gewone wespbij - Grijze rimpelrug - Meidoornzandbij - Roodgatje - Viltvlekzandbij - Vosje - Witkopdwergzandbij,4.9500959,52.363213200000004
Kramatweg,1998,Rosse metselbij - Sierlijke wespbij - Vosje,4.94647,52.3651778
Sumatraplantsoen,1998,Bruine rouwbij - Gewone geurgroefbij - Gewone sachembij - Grijze rimpelrug - Rosse metselbij - Sierlijke wespbij - Vosje - Witbaardzandbij,4.9430692,52.3599097
Oude Bijlmerflats,1998,Gewone dwergzandbij - Gewone geurgroefbij - Langkopsmaragdgroefbij - Parkbronsgroefbij - Roodpotige groefbij - Rosse metselbij - Witkopdwergzandbij,4.969816000000001,52.3234259
Abcouderpad,2014,Gedoornde slakkenhuisbij - Gewone geurgroefbij - Grasbij - Matte bandgroefbij - Roodpotige groefbij - Tuinbladsnijder - Wormkruidbij,4.957317099999999,52.3068701
Adelaarsweg,2014,Gewone kleine wespbij - Grasbij - Tuinmaskerbij - Wormkruidbij,4.9176099,52.387879
Amsteldijk,2014,Ereprijszandbij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Gewone slobkousbij - Gewone smaragdgroefbij - Grasbij - Grote bladsnijder - Grote wolbij - Parkbronsgroefbij - Rosse metselbij - Tronkenbij - Tuinbladsnijder - Witbaardzandbij - Wormkruidbij,4.8943288,52.32421179999999
Amstelpark,2014,Bleekvlekwespbij - Gewone dwergbloedbij - Gewone sachembij - Gewone slobkousbij - Gewone smaragdgroefbij - Grasbij - Grote bladsnijder - Grote klokjesbij - Pantserbloedbij - Roodbuikje - Rosse metselbij - Tronkenbij - Tuinbladsnijder - Vosje - Witbaardzandbij,4.894243,52.329563799999995
Baanakkerspark,2014,Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone sachembij - Grasbij - Rood-Zwarte dubbeltand - Roodgatje - Smalbandwespbij - Tweekleurige zandbij - Viltvlekzandbij - Vroege zandbij,4.9455531,52.397701899999994
Beatrixpark,2014,Donkere wespbij - Ereprijszandbij - Geeltipje - Gewone franjegroefbij - Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Gewone slobkousbij - Grijze rimpelrug - Grote bladsnijder - Grote klokjesbij - Grote wolbij - Roodbuikje - Roodgatje - Rosse metselbij - Tronkenbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Vosje - Witbaardzandbij - Wormkruidbij,4.8791802,52.34295720000001
Beemsterstraat,2014,Gewone geurgroefbij - Gewone maskerbij - Grasbij - Tuinbladsnijder - Tuinmaskerbij - Wormkruidbij,4.9506118,52.396443
Bijlmerweide,2014,Gewone dwergzandbij - Gewone geurgroefbij - Gewone sachembij - Grijze zandbij - Grote zijdebij - Roodpotige groefbij - Tronkenbij - Tuinbladsnijder - Tuinmaskerbij - Vosje - Wormkruidbij,4.987840900000001,52.3264662
Boris Pasternakstraat,2014,Gewone dwergzandbij - Gewone geurgroefbij - Gewone maskerbij - Ingesnoerde groefbij - Tweekleurige zandbij - Wormkruidbij,4.942747799999999,52.3183028
Brinkstraat,2014,Roodpotige groefbij,4.9455101,52.34187
Fietspad Abcoude,1998,Ereprijszandbij - Gewone geurgroefbij - Rosse metselbij,4.959560099999999,52.304970399999995
Bijlmer laagbouw,1998,Ereprijszandbij,4.982691,52.3256308
Ringvaartdijk T106,1998,Grasbij - Kortsprietwespbij,4.8051498,52.3325125
Ringvaartdijk,1998,Grasbij - Kortsprietwespbij - Matte bandgroefbij - Parkbronsgroefbij - Roodpotige groefbij - Tuinbladsnijder - Tweekleurige zandbij,4.7559259,52.3570372
Flierbosdreef,1998,Ereprijszandbij,4.959667,52.3108985
Het Hoogt,1998,Grote wolbij,4.938338,52.3968474
Buikslotermeerdijk,2014,Gewone geurgroefbij - Grasbij - Roodgatje - Vosje,4.9288752,52.4095313
Darwinplantsoen,2014,Gewone franjegroefbij - Gewone geurgroefbij - Gewone maskerbij - Grote bladsnijder - Grote wolbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Wormkruidbij,4.931063900000001,52.3447577
Diemerpark,2014,Donkere wespbij - Duinzijdebij - Gewone dwergbloedbij - Gewone geurgroefbij - Gewone kleine wespbij - Goudpootzandbij - Grasbij - Grote bladsnijder - Grote wolbij - Grote zijdebij - Matte bandgroefbij - Parkbronsgroefbij - Pluimvoetbij - Rood-Zwarte dubbeltand - Roodgatje - Smalbandwespbij - Tweekleurige zandbij - Wimperflankzandbij - Wormkruidbij,4.984751,52.353028
Flevopark,2014,Blauwe metselbij - Bruinsprietwespbij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Grasbij - Roodgatje - Rosse metselbij - Smalbandwespbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Witbaardzandbij,4.950505000000001,52.3630416
Gijsbrecht van Aemstelpark,2014,Ereprijszandbij - Fluitenkruidbij - Gewone dwergbloedbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone sachembij - Goudpootzandbij - Grasbij - Grote bladsnijder - Resedamaskerbij - Roodgatje - Roodpotige groefbij - Rosse metselbij - Schoffelbloedbij - Tuinbladsnijder - Viltvlekzandbij - Witbaardzandbij - Wormkruidbij,4.8758752,52.3285643
Van der Boechorststraat,2014,Gewone dwergzandbij - Gewone sachembij - Goudpootzandbij - Roodgatje - Rosse metselbij - Smalbandwespbij - Viltvlekzandbij - Vosje - Witbaardzandbij,4.8620989,52.3307044
Heemtuin Berend Seinen,2014,Blauwe metselbij - Duinzijdebij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Grasbij - Grote bladsnijder - Grote wolbij - Langkopsmaragdgroefbij - Matte bandgroefbij - Rosse metselbij - Tuinbladsnijder - Vosje - Weidemaskerbij,4.942817,52.398529700000005
Havengebied,2014,Gewone geurgroefbij - Grasbij - Grote bloedbij - Matte bandgroefbij - Pantserbloedbij - Roodgatje - Witbaardzandbij - Wormkruidbij,4.7946789,52.41424620000001
Heggenrankweg 87: N.J.Schaaptuin,2014,Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Goudpootzandbij - Grasbij - Grote bladsnijder - Grote wolbij - Tuinbladsnijder - Tweekleurige zandbij,4.911881200000001,52.3965804
Hermitage,2014,Grote bladsnijder,4.9022682,52.3651091
Hortus botanicus,2014,Geelgerande tubebij - Gewone dwergzandbij - Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Gewone slobkousbij - Grote bladsnijder - Grote klokjesbij - Grote wolbij - Matte bandgroefbij - Resedamaskerbij - Rosse metselbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Vosje - Witbaardzandbij - Wormkruidbij,4.9081361,52.3667761
