OBJECTNUMMER;Aantal_kasten;Aantal_volken;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
74;"1 kast/volk";1;"POINT(4.8516538,52.3650061)";"POINT(52.3650061,4.8516538)";4.8516538;52.3650061;
75;"12 kasten/volken";12;"POINT(4.9386041,52.3403899)";"POINT(52.3403899,4.9386041)";4.9386041;52.3403899;
76;"2 kasten/volken";2;"POINT(5.002105,52.3453528)";"POINT(52.3453528,5.002105)";5.002105;52.3453528;
77;"1 kast/volk";1;"POINT(4.8753312,52.3373419)";"POINT(52.3373419,4.8753312)";4.8753312;52.3373419;
78;"10 kasten/volken";10;"POINT(5.0035899,52.3093611)";"POINT(52.3093611,5.0035899)";5.0035899;52.3093611;
79;"2 kasten/volken";2;"POINT(4.9734938,52.3590323)";"POINT(52.3590323,4.9734938)";4.9734938;52.3590323;
80;"13 kasten/volken";13;"POINT(4.824722,52.3144156)";"POINT(52.3144156,4.824722)";4.824722;52.3144156;
81;"7 kasten/volken";7;"POINT(4.8180339,52.2880599)";"POINT(52.2880599,4.8180339)";4.8180339;52.2880599;
82;"1 kast/volk";1;"POINT(4.9185321,52.3702971)";"POINT(52.3702971,4.9185321)";4.9185321;52.3702971;
83;"2 kasten/volken";2;"POINT(4.894417,52.3415915)";"POINT(52.3415915,4.894417)";4.894417;52.3415915;
84;"3 kasten/volken";3;"POINT(4.8568342,52.3627478)";"POINT(52.3627478,4.8568342)";4.8568342;52.3627478;
85;"2 kasten/volken";2;"POINT(4.9655869,52.3723342)";"POINT(52.3723342,4.9655869)";4.9655869;52.3723342;
86;"3 kasten/volken";3;"POINT(4.9010689,52.3142897)";"POINT(52.3142897,4.9010689)";4.9010689;52.3142897;
87;"3 kasten/volken";3;"POINT(4.8765762,52.3043067)";"POINT(52.3043067,4.8765762)";4.8765762;52.3043067;
88;"3 kasten/volken";3;"POINT(4.9022062,52.2961089)";"POINT(52.2961089,4.9022062)";4.9022062;52.2961089;
89;"1 kast/volk";1;"POINT(4.8686979,52.28077)";"POINT(52.28077,4.8686979)";4.8686979;52.28077;
90;"3 kasten/volken";3;"POINT(4.8963411,52.3374487)";"POINT(52.3374487,4.8963411)";4.8963411;52.3374487;
91;"2 kasten/volken";2;"POINT(4.8268912,52.3459288)";"POINT(52.3459288,4.8268912)";4.8268912;52.3459288;
92;"1 kast/volk";1;"POINT(4.8146732,52.3454596)";"POINT(52.3454596,4.8146732)";4.8146732;52.3454596;
93;"2 kasten/volken";2;"POINT(4.8931701,52.4181143)";"POINT(52.4181143,4.8931701)";4.8931701;52.4181143;
94;"3 kasten/volken";3;"POINT(4.9190972,52.3654296)";"POINT(52.3654296,4.9190972)";4.9190972;52.3654296;
95;"2 kasten/volken";2;"POINT(4.7684829,52.3332984)";"POINT(52.3332984,4.7684829)";4.7684829;52.3332984;
96;"2 kasten/volken";2;"POINT(4.9608238,52.403504)";"POINT(52.403504,4.9608238)";4.9608238;52.403504;
97;"14 kasten/volken";14;"POINT(4.7850239,52.3750235)";"POINT(52.3750235,4.7850239)";4.7850239;52.3750235;
98;"4 kasten/volken";4;"POINT(4.7503688,52.4107939)";"POINT(52.4107939,4.7503688)";4.7503688;52.4107939;
99;"1 kast/volk";1;"POINT(4.93309,52.4010626)";"POINT(52.4010626,4.93309)";4.93309;52.4010626;
100;"1 kast/volk";1;"POINT(4.9910438,52.3594672)";"POINT(52.3594672,4.9910438)";4.9910438;52.3594672;
101;"1 kast/volk";1;"POINT(4.8477981,52.3866698)";"POINT(52.3866698,4.8477981)";4.8477981;52.3866698;
103;"2 kasten/volken";2;"POINT(4.9024501,52.3604203)";"POINT(52.3604203,4.9024501)";4.9024501;52.3604203;
104;"4 kasten/volken";4;"POINT(4.7835102,52.3818468)";"POINT(52.3818468,4.7835102)";4.7835102;52.3818468;
105;"2 kasten/volken";2;"POINT(4.8708097,52.3790758)";"POINT(52.3790758,4.8708097)";4.8708097;52.3790758;
106;"12 kasten/volken";12;"POINT(4.8974498,52.3369675)";"POINT(52.3369675,4.8974498)";4.8974498;52.3369675;
107;"3 kasten/volken";3;"POINT(4.9544788,52.3527634)";"POINT(52.3527634,4.9544788)";4.9544788;52.3527634;
108;"2 kasten/volken";2;"POINT(4.9041179,52.3703574)";"POINT(52.3703574,4.9041179)";4.9041179;52.3703574;
109;"2 kasten/volken";2;"POINT(4.8959532,52.3692302)";"POINT(52.3692302,4.8959532)";4.8959532;52.3692302;

